SUBJECT;LABEL;AUC;AVGDIST;DICE;FN;FP;HDRFDST;JACRD;SNSVTY;SPCFTY;TN;TP
117122;Amygdala;0.9203669625387032;1.4775100202010398;0.5030821236826407;477;4521;13.0;0.33607863974495217;0.8413701363485201;0.9993637887288862;7101609;2530
117122;GreyMatter;0.951903026839391;0.3133885883980234;0.7201021983475857;21434;355859;2.0;0.5626247638037165;0.9577047621114863;0.9461012915672957;6246507;485337
117122;Hippocampus;0.9867662023832227;1.1111421067234886;0.5820145864868584;215;11935;13.92838827718412;0.4104517443835218;0.9752132810698639;0.9983191236965815;7088528;8459
117122;Thalamus;0.983235275069859;0.5416298656046945;0.7663564319941024;553;9589;13.601470508735444;0.6212138188608777;0.9678226463400442;0.9986479037996737;7082362;16633
117122;WhiteMatter;0.9702523818477068;0.25600651967334026;0.818149657089405;14654;190445;2.8284271247461903;0.6922616403989965;0.9692160318637388;0.9712887318316747;6442665;461373
117122-PP;Amygdala;0.9203670329004894;1.4774817045609236;0.5031321467634483;477;4520;13.0;0.33612328949116516;0.8413701363485201;0.9993639294524587;7101610;2530
117122-PP;GreyMatter;0.9519480821570265;0.31144540432641465;0.7204321984585971;21436;355238;2.0;0.5630277642112785;0.9577008155557442;0.9461953487583088;6247128;485335
117122-PP;Hippocampus;0.9867721879083919;1.0945774700753035;0.5837214919090501;215;11850;13.92838827718412;0.41215162736308714;0.9752132810698639;0.9983310947469201;7088613;8459
117122-PP;Thalamus;0.9832367556215436;0.5406143972310716;0.7667273607301727;553;9568;13.638181696985855;0.6217014278238768;0.9678226463400442;0.9986508649030429;7082383;16633
117122-PP;WhiteMatter;0.9702661911359629;0.25459668761839765;0.8183097629780325;14657;190220;2.8284271247461903;0.6924909230360512;0.9692097297002061;0.9713226525717198;6442890;461370
118528;Amygdala;0.9280012249251026;1.572666599970677;0.4876228613032399;448;5182;13.564659966250536;0.3224214706944277;0.8567316917173009;0.9992707581329044;7100828;2679
118528;GreyMatter;0.9540096141320707;0.3318628258070049;0.718064291478284;17483;390593;3.0;0.5601406425493295;0.9674522339239205;0.940566994340221;6181395;519666
118528;Hippocampus;0.9875210441453481;1.2070806757364956;0.553476167132847;224;15261;13.92838827718412;0.3826249900326928;0.977191732002851;0.9978503562878452;7084055;9597
118528;Thalamus;0.9847705861900462;0.7048842880059647;0.7295180473250176;520;12534;15.394804318340652;0.574205753799987;0.9713087618627234;0.998232410517369;7078479;17604
118528;WhiteMatter;0.9664953353923897;0.22443879440524545;0.8304342977443282;19988;167035;2.23606797749979;0.7100364657947125;0.9581799884089022;0.9748106823758774;6464149;457965
118528-PP;Amygdala;0.9280013656510515;1.5719696716959235;0.4877116329874386;448;5180;13.564659966250536;0.3224990971469845;0.8567316917173009;0.9992710395848021;7100830;2679
