SUBJECT;LABEL;AUC;AVGDIST;DICE;FN;FP;HDRFDST;JACRD;SNSVTY;SPCFTY;TN;TP
117122;Amygdala;0.9218772734867449;1.6605843030928513;0.46914264597191424;468;5278;13.341664064126334;0.30645745322872664;0.8443631526438311;0.9993913943296585;8667004;2539
117122;GreyMatter;0.956704004242164;0.3108106454636805;0.7226512927042774;22182;349782;2.0;0.5657431589171948;0.956228750263926;0.9571792582204018;7818736;484589
117122;Hippocampus;0.9850392076925896;1.139952598660014;0.5886133426475725;248;11530;14.45683229480096;0.417046129479311;0.9714088079317501;0.998669607453429;8655085;8426
117122;Thalamus;0.9798190906448492;0.6098326531793681;0.7752629601803156;676;8896;15.937377450509228;0.6330036040180967;0.9606656580937972;0.998972523195901;8649207;16510
117122;WhiteMatter;0.9740593917241954;0.2494467639168829;0.8188203254415081;13606;191033;2.8284271247461903;0.6932224987257518;0.9714175876578429;0.9767011957905479;8008229;462421
117122-PP;Amygdala;0.9218772734867449;1.6605843030928515;0.46914264597191424;468;5278;13.341664064126334;0.30645745322872664;0.8443631526438311;0.9993913943296585;8667004;2539
117122-PP;GreyMatter;0.9567443814398742;0.3089114818943469;0.7230301298612163;22185;349074;2.0;0.5662076661077649;0.9562228304303128;0.9572659324494357;7819444;484586
117122-PP;Hippocampus;0.9850449192651008;1.1226719749032876;0.590655777925765;248;11431;14.491376746189438;0.4190997264362099;0.9714088079317501;0.9986810305984516;8655184;8426
117122-PP;Thalamus;0.979820187882893;0.6075060314793046;0.7756089540318981;676;8877;15.84297951775486;0.6334650654184092;0.9606656580937972;0.9989747176719889;8649226;16510
117122-PP;WhiteMatter;0.9740740334411393;0.2481795628049569;0.8190402136794525;13610;190724;2.449489742783178;0.6935377674724147;0.9714091847731327;0.976738882109146;8008538;462417
118528;Amygdala;0.9391930873355803;1.718562169583213;0.4500286486044037;378;6341;13.74772708486752;0.2903464300802704;0.8791173648864726;0.999268809784688;8665821;2749
118528;GreyMatter;0.9593419453883243;0.3273424063155987;0.7203516429813016;18297;384551;3.0;0.5629293696430508;0.9659368257224717;0.952747065054177;7753589;518852
118528;Hippocampus;0.9850129436642145;1.2543044608520209;0.5644574571910213;278;14449;14.317821063276353;0.39320148331273175;0.9716933102535383;0.9983325770748909;8651019;9543
118528;Thalamus;0.987094039144605;0.6678311594060122;0.7346531773895341;442;12331;14.52583904633395;0.5805943194877689;0.9756124475833149;0.9985756307058951;8644834;17682
118528;WhiteMatter;0.9693256789476741;0.23067015937515023;0.8292122293928978;19443;169430;2.8284271247461903;0.708251529620024;0.9593202678924497;0.9793310900028985;8027906;458510
118528-PP;Amygdala;0.9391930873355803;1.718562169583213;0.4500286486044037;378;6341;13.74772708486752;0.2903464300802704;0.8791173648864726;0.999268809784688;8665821;2749
118528-PP;GreyMatter;0.9593856008269219;0.32562714868246306;0.7207272156483605;18300;383795;3.0;0.5633882190448062;0.9659312406799603;0.9528399609738835;7754345;518849
118528-PP;Hippocampus;0.9850168672838044;1.240162120281412;0.5655949029485849;278;14381;14.212670403551895;0.39430625568134864;0.9716933102535383;0.9983404243140706;8651087;9543
118528-PP;Thalamus;0.9870945011896277;0.6668094054880019;0.7347752914043508;442;12323;14.491376746189438;0.5807468716129668;0.9756124475833149;0.9985765547959407;8644842;17682
118528-PP;WhiteMatter;0.9693443953376768;0.22874850377053604;0.829454181018264;19444;169106;2.449489742783178;0.7086046249260114;0.9593181756365166;0.979370615038837;8028230;458509
118730;Amygdala;0.9891525932943823;1.1093282888720908;0.5432810512929207;69;5318;11.180339887498949;0.3729484344081015;0.9789184234647113;0.9993867631240533;8666698;3204
118730;GreyMatter;0.9551813975854188;0.29180327174413445;0.7297508513975167;24353;381625;2.0;0.5744942653182504;0.957460671252546;0.9529021239182915;7721182;548129
118730;Hippocampus;0.975059895189349;1.1916049828804574;0.5287408026218552;417;14250;11.575836902790225;0.3593797772439397;0.951764025448236;0.9983557649304621;8652394;8228
118730;Thalamus;0.9903855126717245;0.7236570057504064;0.7275719081155796;301;12116;15.362291495737216;0.5717980550382785;0.9821703589622083;0.9986006663812408;8646291;16581
118730;WhiteMatter;0.9724267019578918;0.23143748274251114;0.816639697144636;14844;175409;2.23606797749979;0.6901023257026137;0.966149236168597;0.9787041677471865;8061367;423669
118730-PP;Amygdala;0.9891527086078227;1.1090569566498125;0.5433731874841007;69;5316;11.180339887498949;0.37303527768075445;0.9789184234647113;0.9993869937509341;8666700;3204
118730-PP;GreyMatter;0.9552114489209692;0.29059073829846893;0.7300659584216863;24366;380954;2.0;0.574884942460742;0.9574379631149975;0.9529849347269409;7721853;548116
118730-PP;Hippocampus;0.9750761644626686;1.1328767607584467;0.5335754352971693;417;13968;10.63014581273465;0.3638614955998762;0.951764025448236;0.9983883034771014;8652676;8228
118730-PP;Thalamus;0.9903874183340479;0.7210854159209296;0.7280990646818601;301;12083;15.394804318340652;0.5724495080269291;0.9821703589622083;0.9986044777058874;8646324;16581
118730-PP;WhiteMatter;0.9724432314501739;0.22894937526556303;0.8169359814886232;14850;175024;2.23606797749979;0.6905255917736013;0.9661355535639764;0.9787509093363714;8061752;423663
118932;Amygdala;0.9879466501830837;1.389781528305676;0.5170723165820347;71;5445;12.36931687685298;0.3486834336993742;0.9765211640211641;0.9993721363450033;8666820;2953
118932;GreyMatter;0.960211135364317;0.2858355018724105;0.7345586456746049;18859;372912;2.0;0.5804762450379988;0.9663793487658998;0.9540429219627342;7741442;542076
118932;Hippocampus;0.9855833018538991;1.2730866191468837;0.5351241605497423;239;14644;13.19090595827292;0.36530342445306835;0.9728563316297558;0.9983102720780422;8651840;8566
118932;Thalamus;0.9790757969910049;0.7400817205130622;0.7448635451366618;760;11571;16.15549442140351;0.5934522435791765;0.9594882729211087;0.9986633210609009;8644958;18000
118932;WhiteMatter;0.9677376382645217;0.2152344771545337;0.8364223442040685;21934;160442;2.23606797749979;0.7188367188367188;0.9550722440936817;0.9804030324353619;8026641;466272
