SUBJECT;LABEL;AUC;AVGDIST;DICE;FN;FP;HDRFDST;JACRD;SNSVTY;SPCFTY;TN;TP
117122;Amygdala;0.9212288210355002;1.7062814153224564;0.4814357610863166;472;4989;13.892443989449804;0.3170335167583792;0.8430329231792484;0.9994247188917519;8667293;2535
117122;GreyMatter;0.9572979529758209;0.31589411797663014;0.720444179345423;21219;355601;2.0;0.5630423993357855;0.9581290168537663;0.9564668890978755;7812917;485552
117122;Hippocampus;0.9842143135170451;1.1423212798891516;0.5816220701099357;262;11840;14.071247279470288;0.4100614214682656;0.9697947890246714;0.9986338380094189;8654775;8412
117122;Thalamus;0.9802245964538385;0.5406397000813781;0.7660748226785963;661;9431;15.556349186104045;0.6208438216177631;0.9615384615384616;0.9989107313692156;8648672;16525
117122;WhiteMatter;0.9737239451969454;0.25623620084582555;0.8174769095803575;13837;192555;3.0;0.6912988982652838;0.970932321065822;0.9765155693280688;8006707;462190
117122-PP;Amygdala;0.9212288210355002;1.7062814153224564;0.4814357610863166;472;4989;13.892443989449804;0.3170335167583792;0.8430329231792484;0.9994247188917519;8667293;2535
117122-PP;GreyMatter;0.9573353453916906;0.31367144527954693;0.7207785074697765;21220;354974;2.0;0.5634509048500427;0.9581270435758952;0.9565436472074861;7813544;485551
117122-PP;Hippocampus;0.9842163327598522;1.1356222310409467;0.5823266761275138;262;11805;14.071247279470288;0.4107622442502075;0.9697947890246714;0.998637876495033;8654810;8412
117122-PP;Thalamus;0.98022471195258;0.5405443416124232;0.7661103384330088;661;9429;15.556349186104045;0.6208904752958858;0.9615384615384616;0.9989109623666985;8648674;16525
117122-PP;WhiteMatter;0.9737328683725939;0.2549626532349934;0.8176169386973485;13840;192357;3.0;0.6914991980657825;0.9709260189022891;0.9765397178428985;8006905;462187
118528;Amygdala;0.9313726886309968;1.7365860931644088;0.45321023919429293;427;6088;14.247806848775006;0.29300054259359737;0.8634473936680525;0.9992979835939412;8666074;2700
118528;GreyMatter;0.9602815119031041;0.3400705924988109;0.7172478325999567;16686;393666;3.0;0.5591476286909859;0.9689359935511376;0.9516270302550706;7744474;520463
118528;Hippocampus;0.9841787445663672;1.2376618774165347;0.5581626973664938;294;14789;13.92838827718412;0.38711905729378304;0.970064148253742;0.9982933408789924;8650679;9527
118528;Thalamus;0.9829526454827227;0.654616098541551;0.7298461794642299;592;12387;16.09347693943108;0.5746124348595588;0.9673361288898698;0.9985691620755756;8644778;17532
118528;WhiteMatter;0.9699525214510786;0.22416424754327588;0.8308298234722375;18927;168003;2.449489742783178;0.7106149644867452;0.960399871953937;0.9795051709482202;8029333;459026
118528-PP;Amygdala;0.9313727462867463;1.7362108470196995;0.45324827933523587;427;6087;14.247806848775006;0.2930323420881268;0.8634473936680525;0.9992980989054402;8666075;2700
118528-PP;GreyMatter;0.9603085173455108;0.33887480864189057;0.7174849564719912;16689;393181;3.0;0.5594358990895704;0.9689304085086261;0.9516866261823955;7744959;520460
118528-PP;Hippocampus;0.9841807640764502;1.2311183525485896;0.558735558031787;294;14754;13.92838827718412;0.3876703967446592;0.970064148253742;0.9982973798991583;8650714;9527
118528-PP;Thalamus;0.982952876505234;0.6539703355061767;0.7299069506026353;592;12383;16.09347693943108;0.5746877765758678;0.9673361288898698;0.9985696241205984;8644782;17532
118528-PP;WhiteMatter;0.9699694781794597;0.22260422383955392;0.8310389027286947;18927;167725;2.23606797749979;0.710920923432423;0.960399871953937;0.9795390844049823;8029611;459026
118730;Amygdala;0.9860922762125823;1.2267943147176446;0.5368403304670376;89;5405;11.74734012447073;0.3669048167780595;0.9728078215704247;0.9993767308547401;8666611;3184
118730;GreyMatter;0.955700351699835;0.29775822728491286;0.7270320622913171;23222;389223;2.0;0.5711314800276592;0.9594362792192593;0.9519644241804106;7713584;549260
118730;Hippocampus;0.9720857516898607;1.20496468970328;0.519240538481077;468;14674;11.180339887498949;0.350658261503495;0.9458646616541353;0.998306841725586;8651970;8177
118730;Thalamus;0.9904062439679087;0.6466202826583654;0.7333480760725343;301;11757;16.0312195418814;0.5789657460106847;0.9821703589622083;0.9986421289736092;8646650;16581
118730;WhiteMatter;0.9724016801652284;0.23452543864134562;0.815988398406129;14820;176272;2.23606797749979;0.6891726375887506;0.9662039665870795;0.9785993937433772;8060504;423693
118730-PP;Amygdala;0.986092449182743;1.2258097137928559;0.5369761362678135;89;5402;11.74734012447073;0.36703170028818444;0.9728078215704247;0.9993770767950613;8666614;3184
118730-PP;GreyMatter;0.9557342288488279;0.2963998225417465;0.7272963210135486;23222;388674;2.0;0.5714577030159517;0.9594362792192593;0.9520321784783964;7714133;549260
118730-PP;Hippocampus;0.9720954440229022;1.177432090288765;0.5220250255362615;468;14506;10.862780491200215;0.35320288540451816;0.9458646616541353;0.998326226391669;8652138;8177
