SUBJECT;LABEL;AUC;AVGDIST;DICE;FN;FP;HDRFDST;JACRD;SNSVTY;SPCFTY;TN;TP
117122;Amygdala;0.9356801338303413;1.5739394170046375;0.48211823112990715;385;5248;13.038404810405298;0.31762568140520897;0.8719654140339208;0.9993948536267617;8667034;2622
117122;GreyMatter;0.9536893179002928;0.30010902898688946;0.7234713244561016;25719;342021;2.0;0.5667489797264819;0.9492492664339515;0.9581293693666342;7826497;481052
117122;Hippocampus;0.9810132267446168;1.1139228389394606;0.568445396728225;317;12372;12.409673645990857;0.3970825810130191;0.9634540004611483;0.9985724530280854;8654243;8357
117122;Thalamus;0.9809866733095184;0.5811066979913545;0.7597016637980494;634;9837;13.379088160259652;0.6125152647744514;0.9631095077388572;0.9988638388801796;8648266;16552
117122;WhiteMatter;0.9729940398591486;0.23937771433110347;0.8214796978710402;14944;185457;3.0;0.697043314728701;0.9686068227222405;0.9773812569960565;8013805;461083
117122-PP;Amygdala;0.935680191485293;1.5731689225647452;0.48216255976461936;385;5247;13.038404810405298;0.317664162830143;0.8719654140339208;0.9993949689366651;8667035;2622
117122-PP;GreyMatter;0.9537345307364875;0.29741053624639463;0.7238968469302226;25722;341234;2.0;0.5672714193902159;0.9492433466003383;0.9582257148726366;7827284;481049
117122-PP;Hippocampus;0.9810146690609076;1.1090529069121378;0.568929130641977;317;12347;12.36931687685298;0.3975548261262547;0.9634540004611483;0.9985753376606669;8654268;8357
117122-PP;Thalamus;0.980987193053855;0.5805750781734227;0.759858605334435;634;9828;13.379088160259652;0.6127193307174058;0.9631095077388572;0.9988648783688528;8648275;16552
117122-PP;WhiteMatter;0.9730056798203658;0.23817238480364294;0.8216772032059593;14949;185180;3.0;0.6973277657375073;0.9685963191163527;0.9774150405243789;8014082;461078
118528;Amygdala;0.9363120465692112;1.7009459292749818;0.44591395215935997;396;6391;13.416407864998739;0.28693002731666317;0.8733610489286856;0.9992630442097369;8665771;2731
118528;GreyMatter;0.9572009396942098;0.31638023159154344;0.7219246922803572;21136;376386;2.449489742783178;0.5648530160311318;0.9606515138257727;0.953750365562647;7761754;516013
118528;Hippocampus;0.9843433267213075;1.2657266063329253;0.5474754437359987;290;15466;13.341664064126334;0.37691303832008544;0.970471438753691;0.9982152146889239;8650002;9531
118528;Thalamus;0.9865480984223196;0.7082430755768668;0.728446231570265;461;12708;13.601470508735444;0.5728788271925273;0.9745641138821453;0.9985320829624941;8644457;17663
118528;WhiteMatter;0.9688463673355825;0.2243169700490387;0.8317103656764142;20153;165111;2.449489742783178;0.7119042583630867;0.9578347661799382;0.9798579684912269;8032225;457800
118528-PP;Amygdala;0.9363120465692112;1.700945929274982;0.44591395215935997;396;6391;13.416407864998739;0.28693002731666317;0.8733610489286856;0.9992630442097369;8665771;2731
118528-PP;GreyMatter;0.9572457776452463;0.31389167140108903;0.7223475507965694;21144;375535;2.23606797749979;0.5653709279443926;0.9606366203790755;0.9538549349114172;7762605;516005
118528-PP;Hippocampus;0.9843478850440662;1.2507805955559952;0.5487204582745617;290;15387;13.152946437965905;0.3780942557918121;0.970471438753691;0.9982243313344414;8650081;9531
118528-PP;Thalamus;0.986548387200459;0.7076090743828026;0.7285213446071355;461;12703;13.601470508735444;0.5729717455477341;0.9745641138821453;0.9985326605187727;8644462;17663
118528-PP;WhiteMatter;0.9688728727286368;0.22170475070794782;0.832074520049983;20156;164625;2.23606797749979;0.7124380230882477;0.9578284894121388;0.9799172560451347;8032711;457797
118730;Amygdala;0.9895932454800755;1.1187323693396765;0.5299074686054197;66;5624;10.862780491200215;0.3604585815443408;0.9798350137488543;0.9993514772112967;8666392;3207
118730;GreyMatter;0.9539466241801187;0.2841627692936093;0.7306289494464172;26110;376767;2.0;0.5755834349048564;0.9543915791238852;0.9535016692363523;7726040;546372
118730;Hippocampus;0.9737086177997423;1.2395946828924684;0.5054823210545768;439;15617;10.862780491200215;0.33822438381007336;0.9492192018507808;0.9981980337487036;8651027;8206
118730;Thalamus;0.9907407982609278;0.753103248811174;0.7198039343266749;288;12631;14.730919862656235;0.5622606986751602;0.9829404099040399;0.9985411866178155;8645776;16594
118730;WhiteMatter;0.9710223256915748;0.2215288015754523;0.8206358681597312;16469;168021;2.23606797749979;0.6958290878994418;0.9624435307505137;0.9796011206326358;8068755;422044
118730-PP;Amygdala;0.9895933607935159;1.118601674062172;0.5299950421417947;66;5622;10.862780491200215;0.36053962900505904;0.9798350137488543;0.9993517078381774;8666394;3207
118730-PP;GreyMatter;0.9539859647778246;0.2825896622981457;0.7309587421016791;26113;376087;2.0;0.5759928903432433;0.9543863387844509;0.9535855907711982;7726720;546369
118730-PP;Hippocampus;0.9737169832062363;1.2150562227007353;0.5077498994524023;439;15472;10.63014581273465;0.3402579093585438;0.9492192018507808;0.9982147645616919;8651172;8206
