SUBJECT;LABEL;AUC;AVGDIST;DICE;FN;FP;HDRFDST;JACRD;SNSVTY;SPCFTY;TN;TP
117122;Amygdala;0.9200423271678684;1.7505904165948873;0.46321575813101235;479;5380;14.0;0.30141886252533684;0.8407050216162288;0.9993796327195079;8666902;2528
117122;GreyMatter;0.9550934196781415;0.3105469216629732;0.7207905780101836;23775;350417;2.0;0.5634656574753729;0.9530853186153114;0.9571015207409717;7818101;482996
117122;Hippocampus;0.980772086286368;1.0997243669033985;0.5844237632076131;322;11556;13.416407864998739;0.41285219970341075;0.9628775651371916;0.9986666074355444;8655059;8352
117122;Thalamus;0.9781391658353324;0.8068640512332379;0.7668787433871682;733;9270;21.2602916254693;0.6219005140610826;0.957349005004073;0.998929326666592;8648833;16453
117122;WhiteMatter;0.9732700283041644;0.24994910282840296;0.8198624472941128;14517;188286;3.0;0.6947177008428256;0.9695038306650673;0.9770362259432617;8010976;461510
117122-PP;Amygdala;0.9200431919921441;1.7390251409320525;0.4638532110091743;479;5365;13.892443989449804;0.3019589106545628;0.8407050216162288;0.9993813623680595;8666917;2528
117122-PP;GreyMatter;0.9551438354165027;0.30838720566682604;0.7212570064115152;23778;349545;2.0;0.5640359400034567;0.9530793987816982;0.9572082720513072;7818973;482993
117122-PP;Hippocampus;0.9807796440237314;1.0674800489916165;0.5871146884116552;322;11425;12.806248474865697;0.41554306184387285;0.9628775651371916;0.9986817229102712;8655190;8352
117122-PP;Thalamus;0.9781391658353324;0.8068640512332379;0.7668787433871682;733;9270;21.2602916254693;0.6219005140610826;0.957349005004073;0.998929326666592;8648833;16453
117122-PP;WhiteMatter;0.9732827932889905;0.2487457937909376;0.820049415446014;14520;188025;2.8284271247461903;0.6949862360176613;0.9694975285015346;0.9770680580764464;8011237;461507
118528;Amygdala;0.9307126301779437;1.8646064211514743;0.4395891081037013;431;6443;14.071247279470288;0.2817136886102403;0.8621682123440998;0.9992570480117876;8665719;2696
118528;GreyMatter;0.9580877514013675;0.3298471037894073;0.7189173871491121;19609;385087;3.1622776601683795;0.5611795679197081;0.963494300464117;0.9526812023386179;7753053;517540
118528;Hippocampus;0.9820043294028908;1.2528065249588192;0.5605532241858265;337;14533;14.142135623730951;0.38942268210560893;0.9656857753792892;0.9983228834264923;8650935;9484
