SUBJECT;LABEL;AUC;AVGDIST;DICE;FN;FP;HDRFDST;JACRD;SNSVTY;SPCFTY;TN;TP
117122;Amygdala;0.9204319052812637;1.4738285479992133;0.5096696212731668;477;4391;12.68857754044952;0.34198432008650986;0.8413701363485201;0.9994936742140074;8667891;2530
117122;GreyMatter;0.9582156621844952;0.3117113593421364;0.7223496648905556;20422;353455;2.0;0.5653735181219819;0.9597017193170091;0.9567296050519812;7815063;486349
117122;Hippocampus;0.9803043119456833;1.143985934680664;0.5621610697564755;329;12670;12.569805089976535;0.3909763868065967;0.9620705556836523;0.9985380682077143;8653945;8345
117122;Thalamus;0.975679170835856;0.43225714072714105;0.7776220453735598;819;8542;7.0710678118654755;0.6361551616915423;0.9523449319213313;0.9990134097503807;8649561;16367
117122;WhiteMatter;0.9742189669578724;0.28539104679361266;0.8117750662665119;12818;201989;3.1622776601683795;0.683182992731735;0.9730729559457761;0.9753649779699686;7997273;463209
117122-PP;Amygdala;0.9204321359010705;1.4726019218131852;0.5098750503829101;477;4387;12.68857754044952;0.34216932648093046;0.8413701363485201;0.9994941354536211;8667895;2530
117122-PP;GreyMatter;0.9582372083205262;0.31046144037474793;0.7225385393058951;20422;353103;2.0;0.5656049607268041;0.9597017193170091;0.9567726973240434;7815415;486349
117122-PP;Hippocampus;0.980307311963568;1.135620617404746;0.5631474170800014;329;12618;12.529964086141668;0.39193124178095057;0.9620705556836523;0.9985440682434837;8653997;8345
117122-PP;Thalamus;0.9756800948257878;0.43111603676989596;0.7779177261817058;819;8526;7.0710678118654755;0.6365510267579341;0.9523449319213313;0.9990152577302441;8649577;16367
117122-PP;WhiteMatter;0.974242932529408;0.2829580978452096;0.8120547109477995;12818;201596;3.0;0.6835792173524217;0.9730729559457761;0.9754129091130397;7997666;463209
118528;Amygdala;0.9050375434080671;1.683549026279018;0.46437076387616777;592;5256;13.45362404707371;0.3023977096504831;0.8106811640550048;0.9993939227611293;8666906;2535
118528;GreyMatter;0.961069774727029;0.33297470453705924;0.7194720702286325;16062;390290;3.0;0.5618558201671484;0.9700976823935258;0.9520418670605323;7747850;521087
118528;Hippocampus;0.9846736830788361;1.3142896293722195;0.5407642589862797;283;15917;13.490737563232042;0.3705804646825705;0.9711841971286019;0.9981631690290703;8649551;9538
