SUBJECT;LABEL;AUC;AVGDIST;DICE;FN;FP;HDRFDST;JACRD;SNSVTY;SPCFTY;TN;TP
117122;Amygdala;0.9394251782019212;2.0449127976742365;0.35396407733668916;212;5435;14.45683229480096;0.2150403113705866;0.8794769755542922;0.9993733808495503;8668095;1547
117122;GreyMatter;0.9587321823840962;0.6933526937831986;0.3985409599925654;3021;566515;3.7416573867739413;0.2488611634992021;0.9842422345669353;0.9332221302012571;7917059;188694
117122;Hippocampus;0.9886275493864609;1.4298686209011473;0.4390202415376765;112;13080;19.87460691435179;0.2812465947477389;0.9787637466818354;0.9984913520910863;8656935;5162
117122;Thalamus;0.9929216214699941;1.9544234646849583;0.6532157000350894;166;13670;45.617978911828175;0.48501879629284994;0.9874213836477987;0.9984218592921894;8648422;13031
117122;WhiteMatter;0.9784002398311482;0.46583283743034254;0.6648205926578149;1797;313397;4.242640687119285;0.49792603825519605;0.9942841148011845;0.9625163648611119;8047505;312590
117122-PP;Amygdala;0.9394254664352011;2.0433165359950474;0.3541666666666667;212;5430;14.45683229480096;0.21518987341772153;0.8794769755542922;0.99937395731611;8668100;1547
117122-PP;GreyMatter;0.958781262467191;0.6894832175183275;0.39890872114040965;3022;565638;3.7416573867739413;0.24914801948364898;0.9842370184909892;0.9333255064433928;7917936;188693
117122-PP;Hippocampus;0.9886318746384933;1.4131256568061794;0.44042489654878203;112;13005;19.949937343260004;0.2824005689589146;0.9787637466818354;0.9985000025951513;8657010;5162
117122-PP;Thalamus;0.9929231222621815;1.9490480647821147;0.6536416532905297;166;13644;45.639894828976104;0.4854886181587869;0.9874213836477987;0.9984248608765642;8648448;13031
117122-PP;WhiteMatter;0.9784102267918853;0.4650096363481967;0.6649386783974167;1797;313230;4.242640687119285;0.49805852932600614;0.9942841148011845;0.9625363387825859;8047672;312590
118528;Amygdala;0.9438164870025164;2.029872348576384;0.33984136668700426;210;6282;15.033296378372908;0.20470415288496877;0.8883572567783095;0.9992757172267234;8667126;1671
118528;GreyMatter;0.9586841178506222;0.7036282834984348;0.39627465872134915;1985;618053;4.123105625617661;0.2470963378338832;0.9903395043703401;0.9270287313309042;7851760;203491
118528;Hippocampus;0.9927198364025871;1.6243437073184583;0.4049138247158049;71;16157;18.384776310850235;0.25385075175870153;0.9873032904148784;0.9981363823902958;8653540;5521
118528;Thalamus;0.9912299382020487;1.6231468388922776;0.623699197218855;217;16236;37.53664875824692;0.45317069928210585;0.9843343921455385;0.998125484258559;8645201;13635
118528;WhiteMatter;0.9770177498217236;0.436952115280335;0.6705283932130812;3209;297790;4.123105625617661;0.5043570617003409;0.9896316639741518;0.9644038356692956;8067999;306291
118528-PP;Amygdala;0.9438171787721183;2.0268258981450176;0.34025656689065364;210;6270;15.033296378372908;0.20500552079499448;0.8883572567783095;0.9992771007659274;8667138;1671
118528-PP;GreyMatter;0.95872984253792;0.7000585563744884;0.39660248245645663;1987;617196;4.123105625617661;0.24735131376782;0.9903297708734841;0.927129914202356;7852617;203489
118528-PP;Hippocampus;0.9927282565353783;1.5934184201602597;0.40709334906355993;71;16011;18.384776310850235;0.2555663565245568;0.9873032904148784;0.9981532226558782;8653686;5521
118528-PP;Thalamus;0.991231554562013;1.6174866880723584;0.6240988671472708;217;16208;37.57658845611187;0.4535928143712575;0.9843343921455385;0.9981287169784875;8645229;13635
118528-PP;WhiteMatter;0.9770297032668799;0.43599748826254064;0.6706752165854117;3209;297590;4.123105625617661;0.5045232173153898;0.9896316639741518;0.964427742559608;8068199;306291
118730;Amygdala;0.9988561880588595;1.5397885849676465;0.3842223584712855;3;6023;13.152946437965905;0.23779408044523148;0.9984067976633032;0.9993055784544157;8667383;1880
118730;GreyMatter;0.9536368880386565;0.6216324934045303;0.41595620932355626;4159;630477;3.1622776601683795;0.26259135749392887;0.981929412173641;0.9253443639036719;7814659;225994
118730;Hippocampus;0.9832378301281082;1.7901526270079704;0.3798886911748003;164;16215;18.973665961010276;0.23448308094971024;0.9683458791739047;0.9981297810823118;8653893;5017
118730;Thalamus;0.9951879796439038;1.5323958873154082;0.6225120935717552;102;15583;37.749172176353746;0.45191837305192534;0.992174913693901;0.9982010455939067;8646671;12933
118730;WhiteMatter;0.9775371826220947;0.46352644983211744;0.6469343968615977;2557;300559;4.123105625617661;0.4781249300559036;0.9908763942311123;0.9641979710130771;8094468;277705
118730-PP;Amygdala;0.9988567068861806;1.537436125003863;0.38457604582182675;3;6014;13.152946437965905;0.23806508800810433;0.9984067976633032;0.9993066161090579;8667392;1880
118730-PP;GreyMatter;0.9536656476607247;0.6185931655207775;0.4162556789976782;4168;629661;3.1622776601683795;0.2628301004635886;0.9818903077517999;0.9254409875696495;7815475;225985
118730-PP;Hippocampus;0.9832465958782004;1.7624963868208594;0.3820875061878832;164;16063;19.313207915827967;0.23616079834306156;0.9683458791739047;0.9981473125824961;8654045;5017
118730-PP;Thalamus;0.9951899999032958;1.5226323803011759;0.6230369014355911;102;15548;37.815340802378074;0.45247174894167863;0.992174913693901;0.9982050861126908;8646706;12933
118730-PP;WhiteMatter;0.977550345176545;0.46241303146709306;0.6471009722651039;2557;300338;4.123105625617661;0.4783069238718567;0.9908763942311123;0.9642242961219779;8094689;277705
118932;Amygdala;0.9996642048220303;1.741067244736863;0.38806597331652487;0;5825;13.416407864998739;0.24074556830031282;1.0;0.9993284096440606;8667617;1847
118932;GreyMatter;0.9574287000212838;0.6177580678472957;0.43135944862507913;2994;611504;3.3166247903554;0.2749893519244995;0.9873171599588253;0.9275402400837424;7827718;233073
118932;Hippocampus;0.9959450570901316;1.6801051985693878;0.3919570628500311;32;15602;17.578395831246947;0.24374788371305567;0.9936896075724709;0.9982005066077924;8654616;5039
118932;Thalamus;0.9919557515692465;1.5797864381977953;0.6455370753793997;206;15373;37.05401462729781;0.476600033596506;0.9856864924958311;0.9982250106426621;8645524;14186
118932;WhiteMatter;0.976296367345119;0.398748653056284;0.6975863458149756;4651;278348;3.7416573867739413;0.535610436494913;0.9859508476009811;0.9666418870892569;8065889;326401
118932-PP;Amygdala;0.9996648965889205;1.7387343610141794;0.38855580098874515;0;5813;13.45362404707371;0.24112271540469973;1.0;0.9993297931778411;8667629;1847
118932-PP;GreyMatter;0.957481844904521;0.613184145094943;0.43176917376806223;2998;610464;3.1622776601683795;0.27532246308758923;0.9873002156167529;0.9276634741922893;7828758;233069
118932-PP;Hippocampus;0.995951169969877;1.6640693555175103;0.39357962977427163;32;15496;17.72004514666935;0.2450041328341518;0.9936896075724709;0.998212732367283;8654722;5039
118932-PP;Thalamus;0.9919569639148038;1.5742901143499466;0.6458456635556568;206;15352;37.067505985701274;0.4769365250134481;0.9856864924958311;0.9982274353337767;8645545;14186
118932-PP;WhiteMatter;0.9763136247648208;0.3976685299471725;0.6978010995036947;4651;278060;3.7416573867739413;0.5358636835261824;0.9859508476009811;0.9666764019286604;8066177;326401
