SUBJECT;LABEL;AUC;AVGDIST;DICE;FN;FP;HDRFDST;JACRD;SNSVTY;SPCFTY;TN;TP
117122;Amygdala;0.9291278057433237;1.699363441840168;0.4761729191630565;424;5259;13.601470508735444;0.3124848778127268;0.8589956767542402;0.999259934732407;7100871;2583
117122;GreyMatter;0.9518378229345485;0.31685696916253986;0.7202794244367239;21540;355339;2.23606797749979;0.562841168760367;0.9574955946571528;0.9461800512119444;6247027;485231
117122;Hippocampus;0.9832970277480075;1.0948121283675873;0.5761026133479663;275;12085;12.806248474865697;0.4045955970904186;0.9682960571823841;0.9982979983136311;7088378;8399
117122;Thalamus;0.9795910743553873;0.5597809252449403;0.7681962025316456;679;9283;16.06237840420901;0.6236351958895312;0.9604910974048644;0.9986910513059101;7082668;16507
117122;WhiteMatter;0.9700119839847298;0.2506846975099796;0.8192633835944727;15032;188367;3.0;0.693857861449682;0.9684219592586135;0.971602008710846;6444743;460995
117122-PP;Amygdala;0.9291278761051098;1.6988231132243028;0.476216814159292;424;5258;13.601470508735444;0.31252268602540834;0.8589956767542402;0.9992600754559795;7100872;2583
117122-PP;GreyMatter;0.9518832526175669;0.31514561008268077;0.7206243479358573;21544;354687;2.0;0.5632625154099213;0.9574877015456685;0.9462788036894653;6247679;485227
117122-PP;Hippocampus;0.9832999148836774;1.087741891405571;0.5769138304083525;275;12044;12.68857754044952;0.4053962737715996;0.9682960571823841;0.9983037725849708;7088419;8399
117122-PP;Thalamus;0.9795915678726155;0.5593553261523679;0.768321347948521;679;9276;16.06237840420901;0.6238001662761696;0.9604910974048644;0.9986920383403665;7082675;16507
117122-PP;WhiteMatter;0.9700190190276243;0.2502055748854368;0.8193768157544162;15037;188204;3.0;0.6940206042777287;0.9684114556527256;0.9716265824025231;6444906;460990
118528;Amygdala;0.9307772158651093;1.8297021941545608;0.43297479531224914;430;6634;13.92838827718412;0.2763036574121504;0.8624880076750879;0.9990664240551308;7099376;2697
118528;GreyMatter;0.9536324880080327;0.330729105349683;0.7191593703037278;18168;387169;3.1622776601683795;0.5614745141823485;0.9661769825504655;0.9410879934655998;6184819;518981
118528;Hippocampus;0.985939342421354;1.266875135512959;0.5514021385134161;255;15310;14.212670403551895;0.38064541800962953;0.9740352306282456;0.9978434542144623;7084006;9566
118528;Thalamus;0.9821673622637672;0.6663745933366277;0.7367911625460284;616;11893;16.06237840420901;0.5832694806276444;0.9660119178989186;0.9983228066286157;7079120;17508
118528;WhiteMatter;0.9667759012540843;0.22654166387539787;0.830176409158386;19662;167837;2.23606797749979;0.7096594868300841;0.9588620638430976;0.974689738665071;6463347;458291
118528-PP;Amygdala;0.9307773565910582;1.8288136384835845;0.43304431599229287;430;6632;13.92838827718412;0.2763602828158623;0.8624880076750879;0.9990667055070286;7099378;2697
118528-PP;GreyMatter;0.9536751737390103;0.329775046400646;0.7194598959578841;18172;386559;3.1622776601683795;0.561840971389227;0.9661695358271168;0.9411808116509038;6185429;518977
118528-PP;Hippocampus;0.9859439907564893;1.254519364871551;0.5524530045335104;255;15244;14.035668847618199;0.38164771593855973;0.9740352306282456;0.9978527508847331;7084072;9566
118528-PP;Thalamus;0.9821677853344906;0.6662101173403917;0.7368841936909447;616;11887;16.06237840420901;0.5833860917663524;0.9660119178989186;0.9983236527700626;7079126;17508
118528-PP;WhiteMatter;0.9667883614521322;0.22575239232071648;0.8303194351590654;19664;167644;2.23606797749979;0.709868540281321;0.9588578793312313;0.9747188435730331;6463540;458289
118730;Amygdala;0.9855469308385907;1.2146507385723233;0.5249174917491749;92;5666;11.40175425099138;0.35585635977178653;0.9718912312862817;0.9992026303908997;7100198;3181
118730;GreyMatter;0.9494557855476845;0.2975913264730319;0.7284623121186072;24191;384565;2.0;0.5728987186627198;0.9577436495819955;0.9411679215133735;6152090;548291
118730;Hippocampus;0.9755090872062989;1.2265053559488077;0.514405218965571;405;15152;11.180339887498949;0.34626213388242216;0.9531521110468479;0.9978660633657499;7085340;8240
118730;Thalamus;0.9898636781643537;0.6878099148342537;0.7312368972746331;314;11865;15.937377450509228;0.5763384005287508;0.9814003080203767;0.9983270483083307;7080390;16568
118730;WhiteMatter;0.9695227157185328;0.2276652447918031;0.8179360721061335;15355;173026;2.23606797749979;0.691955868718103;0.9649839343417413;0.9740614970953242;6497598;423158
118730-PP;Amygdala;0.9855469308385907;1.2146507385723233;0.5249174917491749;92;5666;11.40175425099138;0.35585635977178653;0.9718912312862817;0.9992026303908997;7100198;3181
118730-PP;GreyMatter;0.9495113310679868;0.2959472434629035;0.7288232584755817;24193;383816;2.0;0.5733453379595064;0.9577401560223727;0.9412825061136009;6152839;548289
118730-PP;Hippocampus;0.9755197906899449;1.19460916672916;0.5168574564842402;405;15000;10.488088481701515;0.34848805244237685;0.9531521110468479;0.9978874703330417;7085492;8240
118730-PP;Thalamus;0.9898641011609888;0.6875032812450191;0.7313337306053985;314;11859;15.937377450509228;0.5764587175115689;0.9814003080203767;0.9983278943016008;7080396;16568
118730-PP;WhiteMatter;0.9695401803515267;0.22673253976733493;0.818120301914808;15355;172793;2.23606797749979;0.6922196085103042;0.9649839343417413;0.9740964263613119;6497831;423158
118932;Amygdala;0.9913361035329984;1.4608131254187835;0.5111722241320041;50;5638;12.68857754044952;0.3433387208496883;0.9834656084656085;0.9992065986003882;7100475;2974
118932;GreyMatter;0.9544617295923075;0.2946062042591889;0.7332152824091046;18921;375509;2.23606797749979;0.5788002272426328;0.9662688190253773;0.9426546401592376;6172693;542014
118932;Hippocampus;0.9867374855400344;1.2284950850297598;0.5309679812090493;215;14961;12.727922061357855;0.3614407136245056;0.9755820556501987;0.99789291542987;7085371;8590
118932;Thalamus;0.9768710736186166;0.6957287796815914;0.753537264795543;839;10884;16.492422502470642;0.6045405478343003;0.9552771855010661;0.9984649617361672;7079493;17921
118932;WhiteMatter;0.9656909108289127;0.21620288835163265;0.8364763580654733;21645;160772;2.23606797749979;0.7189165118077963;0.9556642073223188;0.9757176143355066;6460159;466561
118932-PP;Amygdala;0.9913363849808166;1.459987515779112;0.5113480055020633;50;5634;12.68857754044952;0.3434973434973435;0.9834656084656085;0.9992071614960246;7100479;2974
118932-PP;GreyMatter;0.954513194101191;0.2932488514570953;0.7335496933245995;18921;374835;2.23606797749979;0.579217115316798;0.9662688190253773;0.9427575691770046;6173367;542014
118932-PP;Hippocampus;0.9867438232718475;1.2141129629154446;0.5324490175416847;215;14871;12.727922061357855;0.3628146646392972;0.9755820556501987;0.9979055908934963;7085461;8590
118932-PP;Thalamus;0.9768712146548408;0.6956714553922554;0.7535689506549208;839;10882;16.492422502470642;0.6045813372916807;0.9552771855010661;0.9984652438086156;7079495;17921
118932-PP;WhiteMatter;0.9657154542050632;0.21507391769776882;0.8367201272580868;21645;160447;2.23606797749979;0.7192767165186934;0.9556642073223188;0.9757667010878077;6460484;466561
120111;Amygdala;0.922678906460185;1.3101066298293986;0.4935972060535506;578;5947;9.219544457292887;0.3276661514683153;0.8461947844598191;0.9991630284605508;7099432;3180
120111;GreyMatter;0.9555989188942791;0.3069963897568856;0.7166178354725397;16839;363374;2.23606797749979;0.5583822615583858;0.9661582737282975;0.9450395640602606;6248182;480742
120111;Hippocampus;0.9904441492447187;1.1501517672175487;0.5354162745467094;148;14662;11.445523142259598;0.3655757368060315;0.9829532365814329;0.9979350619080045;7085793;8534
120111;Thalamus;0.976008884259961;0.8860571612878642;0.703601108033241;822;13516;17.029386365926403;0.5427350427350427;0.9539237668161435;0.9980940017037786;7077781;17018
120111;WhiteMatter;0.9665393118643224;0.19220762909700098;0.8509104806287165;22986;154124;2.0;0.7405084340985778;0.956499111473629;0.9765795122550159;6426610;505417
120111-PP;Amygdala;0.9226790471986311;1.3095210675366349;0.4936738337343786;578;5945;9.16515138991168;0.3277336906111512;0.8461947844598191;0.9991633099374432;7099434;3180
120111-PP;GreyMatter;0.9556282718794711;0.3062432550404209;0.7168436387711311;16842;362946;2.23606797749979;0.5586564977043138;0.9661522445591773;0.9451042991997648;6248610;480739
120111-PP;Hippocampus;0.9904468251295739;1.1448173342429846;0.5360552763819095;148;14624;11.40175425099138;0.3661718012528962;0.9829532365814329;0.997940413677715;7085831;8534
